event_id:ID,timestamp,event_type,status,value,cve
EVT-000199,2026-05-01T10:03:19Z,modbus_write,normal,95,
EVT-000200,2026-05-01T10:03:20Z,modbus_write,normal,119,
EVT-000201,2026-05-01T10:03:21Z,http_request,normal,,
EVT-000202,2026-05-01T10:03:22Z,login,normal,,
EVT-000203,2026-05-01T10:03:23Z,login,normal,,
EVT-000204,2026-05-01T10:03:24Z,file_access,normal,,
EVT-000205,2026-05-01T10:03:25Z,http_request,normal,,
EVT-000206,2026-05-01T10:03:26Z,read_sensor,normal,113,
EVT-000207,2026-05-01T10:03:27Z,file_access,normal,,
EVT-000208,2026-05-01T10:03:28Z,file_access,normal,,
EVT-000209,2026-05-01T10:03:29Z,read_sensor,normal,75,
EVT-000210,2026-05-01T10:03:30Z,modbus_write,normal,100,
EVT-000211,2026-05-01T10:03:31Z,file_access,normal,,
EVT-000212,2026-05-01T10:03:32Z,modbus_write,normal,56,
EVT-000213,2026-05-01T10:03:33Z,http_request,normal,,
EVT-000214,2026-05-01T10:03:34Z,login,normal,,
EVT-000215,2026-05-01T10:03:35Z,file_access,normal,,
EVT-000216,2026-05-01T10:03:36Z,file_access,normal,,
EVT-000217,2026-05-01T10:03:37Z,modbus_write,normal,55,
EVT-000218,2026-05-01T10:03:38Z,file_access,normal,,
EVT-000219,2026-05-01T10:03:39Z,read_sensor,normal,72,
EVT-000220,2026-05-01T10:03:40Z,login,normal,,
EVT-000221,2026-05-01T10:03:41Z,read_sensor,normal,64,
EVT-000222,2026-05-01T10:03:42Z,login,normal,,
EVT-000223,2026-05-01T10:03:43Z,modbus_write,normal,57,
EVT-000224,2026-05-01T10:03:44Z,file_access,normal,,
EVT-000225,2026-05-01T10:03:45Z,http_request,normal,,
EVT-000226,2026-05-01T10:03:46Z,modbus_write,normal,69,
EVT-000227,2026-05-01T10:03:47Z,file_access,normal,,
EVT-000228,2026-05-01T10:03:48Z,file_access,normal,,
EVT-000229,2026-05-01T10:03:49Z,login,normal,,
EVT-000230,2026-05-01T10:03:50Z,read_sensor,normal,99,
EVT-000231,2026-05-01T10:03:51Z,modbus_write,normal,63,
EVT-000232,2026-05-01T10:03:52Z,login,normal,,
EVT-000233,2026-05-01T10:03:53Z,modbus_write,normal,71,
EVT-000234,2026-05-01T10:03:54Z,modbus_write,normal,104,
EVT-000235,2026-05-01T10:03:55Z,file_access,normal,,
EVT-000236,2026-05-01T10:03:56Z,file_access,normal,,
EVT-000237,2026-05-01T10:03:57Z,login,normal,,
EVT-000238,2026-05-01T10:03:58Z,modbus_write,normal,65,
EVT-000239,2026-05-01T10:03:59Z,modbus_write,normal,89,
EVT-000240,2026-05-01T10:04:00Z,file_access,normal,,
EVT-000241,2026-05-01T10:04:01Z,file_access,normal,,
EVT-000242,2026-05-01T10:04:02Z,read_sensor,normal,104,
EVT-000243,2026-05-01T10:04:03Z,login,normal,,
EVT-000244,2026-05-01T10:04:04Z,login,normal,,
EVT-000245,2026-05-01T10:04:05Z,modbus_write,normal,87,
EVT-000246,2026-05-01T10:04:06Z,http_request,normal,,
EVT-000247,2026-05-01T10:04:07Z,http_request,normal,,
EVT-000248,2026-05-01T10:04:08Z,http_request,normal,,
EVT-000249,2026-05-01T10:04:09Z,http_request,normal,,
EVT-000250,2026-05-01T10:04:10Z,file_access,normal,,
EVT-000251,2026-05-01T10:04:11Z,file_access,normal,,
EVT-000252,2026-05-01T10:04:12Z,modbus_write,normal,79,
EVT-000253,2026-05-01T10:04:13Z,login,normal,,
EVT-000254,2026-05-01T10:04:14Z,read_sensor,normal,42,
EVT-000255,2026-05-01T10:04:15Z,modbus_write,normal,84,
EVT-000256,2026-05-01T10:04:16Z,modbus_write,normal,80,
EVT-000257,2026-05-01T10:04:17Z,file_access,normal,,
EVT-000258,2026-05-01T10:04:18Z,http_request,normal,,
EVT-000259,2026-05-01T10:04:19Z,modbus_write,normal,114,
EVT-000260,2026-05-01T10:04:20Z,modbus_write,normal,118,
EVT-000261,2026-05-01T10:04:21Z,http_request,normal,,
EVT-000262,2026-05-01T10:04:22Z,http_request,normal,,
EVT-000263,2026-05-01T10:04:23Z,http_request,normal,,
EVT-000264,2026-05-01T10:04:24Z,file_access,normal,,
EVT-000265,2026-05-01T10:04:25Z,http_request,normal,,
EVT-000266,2026-05-01T10:04:26Z,modbus_write,normal,71,
EVT-000267,2026-05-01T10:04:27Z,modbus_write,normal,86,
EVT-000268,2026-05-01T10:04:28Z,login,normal,,
EVT-000269,2026-05-01T10:04:29Z,file_access,normal,,
EVT-000270,2026-05-01T10:04:30Z,file_access,normal,,
EVT-000271,2026-05-01T10:04:31Z,file_access,normal,,
EVT-000272,2026-05-01T10:04:32Z,http_request,normal,,
EVT-000273,2026-05-01T10:04:33Z,login,normal,,
EVT-000274,2026-05-01T10:04:34Z,http_request,normal,,
EVT-000275,2026-05-01T10:04:35Z,modbus_write,normal,66,
EVT-000276,2026-05-01T10:04:36Z,file_access,normal,,
EVT-000277,2026-05-01T10:04:37Z,login,normal,,
EVT-000278,2026-05-01T10:04:38Z,login,normal,,
EVT-000279,2026-05-01T10:04:39Z,modbus_write,normal,53,
EVT-000280,2026-05-01T10:04:40Z,read_sensor,normal,62,
EVT-000281,2026-05-01T10:04:41Z,http_request,normal,,
EVT-000282,2026-05-01T10:04:42Z,login,normal,,
EVT-000283,2026-05-01T10:04:43Z,read_sensor,normal,45,
EVT-000284,2026-05-01T10:04:44Z,file_access,normal,,
EVT-000285,2026-05-01T10:04:45Z,login,normal,,
EVT-000286,2026-05-01T10:04:46Z,modbus_write,normal,53,
EVT-000287,2026-05-01T10:04:47Z,read_sensor,normal,73,
EVT-000288,2026-05-01T10:04:48Z,login,normal,,
EVT-000289,2026-05-01T10:04:49Z,file_access,normal,,
EVT-000290,2026-05-01T10:04:50Z,file_access,normal,,
EVT-000291,2026-05-01T10:04:51Z,login,normal,,
EVT-000292,2026-05-01T10:04:52Z,read_sensor,normal,65,
EVT-000293,2026-05-01T10:04:53Z,modbus_write,normal,60,
EVT-000294,2026-05-01T10:04:54Z,login,normal,,
EVT-000295,2026-05-01T10:04:55Z,modbus_write,normal,70,
EVT-000296,2026-05-01T10:04:56Z,file_access,normal,,
EVT-000297,2026-05-01T10:04:57Z,read_sensor,normal,99,
EVT-000298,2026-05-01T10:04:58Z,http_request,normal,,
EVT-000299,2026-05-01T10:04:59Z,modbus_write,normal,77,
EVT-000300,2026-05-01T10:05:00Z,modbus_write,normal,115,
EVT-000301,2026-05-01T10:05:01Z,modbus_write,normal,80,
EVT-000302,2026-05-01T10:05:02Z,file_access,normal,,
EVT-000303,2026-05-01T10:05:03Z,http_request,normal,,
EVT-000304,2026-05-01T10:05:04Z,login,normal,,
EVT-000305,2026-05-01T10:05:05Z,file_access,normal,,
EVT-000306,2026-05-01T10:05:06Z,read_sensor,normal,91,
EVT-000307,2026-05-01T10:05:07Z,read_sensor,normal,88,
EVT-000308,2026-05-01T10:05:08Z,file_access,normal,,
EVT-000309,2026-05-01T10:05:09Z,http_request,normal,,
EVT-000310,2026-05-01T10:05:10Z,read_sensor,normal,58,
EVT-000311,2026-05-01T10:05:11Z,file_access,normal,,
EVT-000312,2026-05-01T10:05:12Z,file_access,normal,,
EVT-000313,2026-05-01T10:05:13Z,read_sensor,normal,92,
EVT-000314,2026-05-01T10:05:14Z,login,normal,,
EVT-000315,2026-05-01T10:05:15Z,http_request,normal,,
EVT-000316,2026-05-01T10:05:16Z,http_request,normal,,
EVT-000317,2026-05-01T10:05:17Z,http_request,normal,,
EVT-000318,2026-05-01T10:05:18Z,modbus_write,normal,53,
EVT-000319,2026-05-01T10:05:19Z,read_sensor,normal,51,
EVT-000320,2026-05-01T10:05:20Z,modbus_write,normal,109,
EVT-000321,2026-05-01T10:05:21Z,http_request,normal,,
EVT-000322,2026-05-01T10:05:22Z,modbus_write,normal,81,
EVT-000323,2026-05-01T10:05:23Z,http_request,normal,,
EVT-000324,2026-05-01T10:05:24Z,modbus_write,normal,85,
EVT-000325,2026-05-01T10:05:25Z,http_request,normal,,
EVT-000326,2026-05-01T10:05:26Z,read_sensor,normal,50,
EVT-000327,2026-05-01T10:05:27Z,modbus_write,normal,48,
EVT-000328,2026-05-01T10:05:28Z,login,normal,,
EVT-000329,2026-05-01T10:05:29Z,http_request,normal,,
EVT-000330,2026-05-01T10:05:30Z,modbus_write,normal,59,
EVT-000331,2026-05-01T10:05:31Z,modbus_write,normal,42,
EVT-000332,2026-05-01T10:05:32Z,login,normal,,
EVT-000333,2026-05-01T10:05:33Z,modbus_write,normal,113,
EVT-000334,2026-05-01T10:05:34Z,file_access,normal,,
EVT-000335,2026-05-01T10:05:35Z,read_sensor,normal,78,
EVT-000336,2026-05-01T10:05:36Z,file_access,normal,,
EVT-000337,2026-05-01T10:05:37Z,file_access,normal,,
EVT-000338,2026-05-01T10:05:38Z,modbus_write,normal,92,
EVT-000339,2026-05-01T10:05:39Z,http_request,normal,,
EVT-000340,2026-05-01T10:05:40Z,http_request,normal,,
EVT-000341,2026-05-01T10:05:41Z,modbus_write,normal,54,
EVT-000342,2026-05-01T10:05:42Z,file_access,normal,,
EVT-000343,2026-05-01T10:05:43Z,file_access,normal,,
EVT-000344,2026-05-01T10:05:44Z,http_request,normal,,
EVT-000345,2026-05-01T10:05:45Z,modbus_write,normal,74,
EVT-000346,2026-05-01T10:05:46Z,file_access,normal,,
EVT-000347,2026-05-01T10:05:47Z,read_sensor,normal,94,
EVT-000348,2026-05-01T10:05:48Z,read_sensor,normal,75,
EVT-000349,2026-05-01T10:05:49Z,login,normal,,
EVT-000350,2026-05-01T10:05:50Z,login,normal,,
EVT-000351,2026-05-01T10:05:51Z,login,normal,,
EVT-000352,2026-05-01T10:05:52Z,login,normal,,
EVT-000353,2026-05-01T10:05:53Z,file_access,normal,,
EVT-000354,2026-05-01T10:05:54Z,read_sensor,normal,115,
EVT-000355,2026-05-01T10:05:55Z,login,normal,,
EVT-000356,2026-05-01T10:05:56Z,modbus_write,normal,82,
EVT-000357,2026-05-01T10:05:57Z,read_sensor,normal,82,
EVT-000358,2026-05-01T10:05:58Z,modbus_write,normal,56,
EVT-000359,2026-05-01T10:05:59Z,file_access,normal,,
EVT-000360,2026-05-01T10:06:00Z,read_sensor,normal,86,
EVT-000361,2026-05-01T10:06:01Z,http_request,normal,,
EVT-000362,2026-05-01T10:06:02Z,file_access,normal,,
EVT-000363,2026-05-01T10:06:03Z,http_request,normal,,
EVT-000364,2026-05-01T10:06:04Z,modbus_write,normal,64,
EVT-000365,2026-05-01T10:06:05Z,login,normal,,
EVT-000366,2026-05-01T10:06:06Z,modbus_write,normal,116,
EVT-000367,2026-05-01T10:06:07Z,read_sensor,normal,104,
EVT-000368,2026-05-01T10:06:08Z,read_sensor,normal,59,
EVT-000369,2026-05-01T10:06:09Z,file_access,normal,,
EVT-000370,2026-05-01T10:06:10Z,read_sensor,normal,94,
EVT-000371,2026-05-01T10:06:11Z,login,normal,,
EVT-000372,2026-05-01T10:06:12Z,http_request,normal,,
EVT-000373,2026-05-01T10:06:13Z,file_access,normal,,
EVT-000374,2026-05-01T10:06:14Z,file_access,normal,,
EVT-000375,2026-05-01T10:06:15Z,login,normal,,
EVT-000376,2026-05-01T10:06:16Z,file_access,normal,,
EVT-000377,2026-05-01T10:06:17Z,login,normal,,
EVT-000378,2026-05-01T10:06:18Z,http_request,normal,,
EVT-000379,2026-05-01T10:06:19Z,modbus_write,normal,103,
EVT-000380,2026-05-01T10:06:20Z,http_request,normal,,
EVT-000381,2026-05-01T10:06:21Z,modbus_write,normal,71,
EVT-000382,2026-05-01T10:06:22Z,http_request,normal,,
EVT-000383,2026-05-01T10:06:23Z,login,normal,,
EVT-000384,2026-05-01T10:06:24Z,file_access,normal,,
EVT-000385,2026-05-01T10:06:25Z,file_access,normal,,
EVT-000386,2026-05-01T10:06:26Z,file_access,normal,,
EVT-000387,2026-05-01T10:06:27Z,http_request,normal,,
EVT-000388,2026-05-01T10:06:28Z,file_access,normal,,
EVT-000389,2026-05-01T10:06:29Z,http_request,normal,,
EVT-000390,2026-05-01T10:06:30Z,file_access,normal,,
EVT-000391,2026-05-01T10:06:31Z,modbus_write,normal,59,
EVT-000392,2026-05-01T10:06:32Z,modbus_write,normal,82,
EVT-000393,2026-05-01T10:06:33Z,login,normal,,
EVT-000394,2026-05-01T10:06:34Z,http_request,normal,,
EVT-000395,2026-05-01T10:06:35Z,read_sensor,normal,64,
EVT-000396,2026-05-01T10:06:36Z,read_sensor,normal,99,
EVT-000397,2026-05-01T10:06:37Z,read_sensor,normal,59,
EVT-000398,2026-05-01T10:06:38Z,login,normal,,
EVT-000399,2026-05-01T10:06:39Z,read_sensor,normal,48,
EVT-000400,2026-05-01T10:06:40Z,login,normal,,
EVT-000401,2026-05-01T10:06:41Z,login,normal,,
EVT-000402,2026-05-01T10:06:42Z,read_sensor,normal,48,
EVT-000403,2026-05-01T10:06:43Z,http_request,normal,,
EVT-000404,2026-05-01T10:06:44Z,read_sensor,normal,62,
EVT-000405,2026-05-01T10:06:45Z,modbus_write,normal,46,
EVT-000406,2026-05-01T10:06:46Z,file_access,normal,,
EVT-000407,2026-05-01T10:06:47Z,modbus_write,normal,55,
EVT-000408,2026-05-01T10:06:48Z,login,normal,,
EVT-000409,2026-05-01T10:06:49Z,file_access,normal,,
EVT-000410,2026-05-01T10:06:50Z,http_request,normal,,
EVT-000411,2026-05-01T10:06:51Z,modbus_write,normal,60,
EVT-000412,2026-05-01T10:06:52Z,read_sensor,normal,76,
EVT-000413,2026-05-01T10:06:53Z,login,normal,,
EVT-000414,2026-05-01T10:06:54Z,login,normal,,
EVT-000415,2026-05-01T10:06:55Z,read_sensor,normal,50,
EVT-000416,2026-05-01T10:06:56Z,http_request,normal,,
EVT-000417,2026-05-01T10:06:57Z,file_access,normal,,
EVT-000418,2026-05-01T10:06:58Z,http_request,normal,,
EVT-000419,2026-05-01T10:06:59Z,read_sensor,normal,100,
EVT-000420,2026-05-01T10:07:00Z,modbus_write,normal,69,
EVT-000421,2026-05-01T10:07:01Z,modbus_write,normal,95,
EVT-000422,2026-05-01T10:07:02Z,read_sensor,normal,113,
EVT-000423,2026-05-01T10:07:03Z,http_request,normal,,
EVT-000424,2026-05-01T10:07:04Z,file_access,normal,,
EVT-000425,2026-05-01T10:07:05Z,file_access,normal,,
EVT-000426,2026-05-01T10:07:06Z,http_request,normal,,
EVT-000427,2026-05-01T10:07:07Z,http_request,normal,,
EVT-000428,2026-05-01T10:07:08Z,login,normal,,
EVT-000429,2026-05-01T10:07:09Z,login,normal,,
EVT-000430,2026-05-01T10:07:10Z,http_request,normal,,
EVT-000431,2026-05-01T10:07:11Z,modbus_write,normal,103,
EVT-000432,2026-05-01T10:07:12Z,file_access,normal,,
EVT-000433,2026-05-01T10:07:13Z,login,normal,,
EVT-000434,2026-05-01T10:07:14Z,login,normal,,
EVT-000435,2026-05-01T10:07:15Z,read_sensor,normal,62,
EVT-000436,2026-05-01T10:07:16Z,modbus_write,normal,117,
EVT-000437,2026-05-01T10:07:17Z,read_sensor,normal,112,
EVT-000438,2026-05-01T10:07:18Z,file_access,normal,,
EVT-000439,2026-05-01T10:07:19Z,modbus_write,normal,48,
