asset_id:ID,type,ip,role,cpe
IT-WS-29,workstation,10.0.0.29,user_endpoint,cpe:2.3:o:microsoft:windows_10:22h2:*:*:*:*:*:*:*
IT-WS-30,workstation,10.0.0.30,user_endpoint,cpe:2.3:o:microsoft:windows_10:22h2:*:*:*:*:*:*:*
IT-SRV-01,server,10.0.1.1,web_server,cpe:2.3:a:apache:http_server:2.4.52:*:*:*:*:*:*:*
IT-SRV-02,server,10.0.1.2,web_server,cpe:2.3:a:apache:http_server:2.4.52:*:*:*:*:*:*:*
IT-SRV-03,server,10.0.1.3,web_server,cpe:2.3:a:apache:http_server:2.4.52:*:*:*:*:*:*:*
IT-SRV-04,server,10.0.1.4,web_server,cpe:2.3:a:apache:http_server:2.4.52:*:*:*:*:*:*:*
IT-SRV-05,server,10.0.1.5,web_server,cpe:2.3:a:apache:http_server:2.4.52:*:*:*:*:*:*:*
IT-SRV-06,server,10.0.1.6,web_server,cpe:2.3:a:apache:http_server:2.4.52:*:*:*:*:*:*:*
IT-SRV-07,server,10.0.1.7,web_server,cpe:2.3:a:apache:http_server:2.4.52:*:*:*:*:*:*:*
IT-SRV-08,server,10.0.1.8,web_server,cpe:2.3:a:apache:http_server:2.4.52:*:*:*:*:*:*:*
IT-SRV-09,server,10.0.1.9,web_server,cpe:2.3:a:apache:http_server:2.4.52:*:*:*:*:*:*:*
IT-SRV-10,server,10.0.1.10,web_server,cpe:2.3:a:apache:http_server:2.4.52:*:*:*:*:*:*:*
IT-SRV-11,server,10.0.1.11,web_server,cpe:2.3:a:apache:http_server:2.4.52:*:*:*:*:*:*:*
IT-SRV-12,server,10.0.1.12,web_server,cpe:2.3:a:apache:http_server:2.4.52:*:*:*:*:*:*:*
IT-SRV-13,server,10.0.1.13,web_server,cpe:2.3:a:apache:http_server:2.4.52:*:*:*:*:*:*:*
IT-SRV-14,server,10.0.1.14,web_server,cpe:2.3:a:apache:http_server:2.4.52:*:*:*:*:*:*:*
IT-SRV-15,server,10.0.1.15,web_server,cpe:2.3:a:apache:http_server:2.4.52:*:*:*:*:*:*:*
OT-HMI-01,HMI,192.168.1.1,operator_interface,cpe:2.3:a:siemens:wincc:*:*:*:*:*:*:*:*
OT-HMI-02,HMI,192.168.1.2,operator_interface,cpe:2.3:a:siemens:wincc:*:*:*:*:*:*:*:*
OT-HMI-03,HMI,192.168.1.3,operator_interface,cpe:2.3:a:siemens:wincc:*:*:*:*:*:*:*:*
OT-HMI-04,HMI,192.168.1.4,operator_interface,cpe:2.3:a:siemens:wincc:*:*:*:*:*:*:*:*
OT-HMI-05,HMI,192.168.1.5,operator_interface,cpe:2.3:a:siemens:wincc:*:*:*:*:*:*:*:*
OT-HMI-06,HMI,192.168.1.6,operator_interface,cpe:2.3:a:siemens:wincc:*:*:*:*:*:*:*:*
OT-HMI-07,HMI,192.168.1.7,operator_interface,cpe:2.3:a:siemens:wincc:*:*:*:*:*:*:*:*
OT-HMI-08,HMI,192.168.1.8,operator_interface,cpe:2.3:a:siemens:wincc:*:*:*:*:*:*:*:*
OT-HMI-09,HMI,192.168.1.9,operator_interface,cpe:2.3:a:siemens:wincc:*:*:*:*:*:*:*:*
OT-HMI-10,HMI,192.168.1.10,operator_interface,cpe:2.3:a:siemens:wincc:*:*:*:*:*:*:*:*
OT-PLC-01,PLC,192.168.2.1,controller,cpe:2.3:h:siemens:s7-1200:*:*:*:*:*:*:*:*
OT-PLC-02,PLC,192.168.2.2,controller,cpe:2.3:h:siemens:s7-1200:*:*:*:*:*:*:*:*
OT-PLC-03,PLC,192.168.2.3,controller,cpe:2.3:h:siemens:s7-1200:*:*:*:*:*:*:*:*
OT-PLC-04,PLC,192.168.2.4,controller,cpe:2.3:h:siemens:s7-1200:*:*:*:*:*:*:*:*
OT-PLC-05,PLC,192.168.2.5,controller,cpe:2.3:h:siemens:s7-1200:*:*:*:*:*:*:*:*
OT-PLC-06,PLC,192.168.2.6,controller,cpe:2.3:h:siemens:s7-1200:*:*:*:*:*:*:*:*
OT-PLC-07,PLC,192.168.2.7,controller,cpe:2.3:h:siemens:s7-1200:*:*:*:*:*:*:*:*
OT-PLC-08,PLC,192.168.2.8,controller,cpe:2.3:h:siemens:s7-1200:*:*:*:*:*:*:*:*
OT-PLC-09,PLC,192.168.2.9,controller,cpe:2.3:h:siemens:s7-1200:*:*:*:*:*:*:*:*
OT-PLC-10,PLC,192.168.2.10,controller,cpe:2.3:h:siemens:s7-1200:*:*:*:*:*:*:*:*
