id,name,type,tactics,description,severity,cvss_score,cvss_vector
CVE-2021-5683,CVE-117,CVE,initial-access,Critical vulnerability in software 117 allowing remote exploitation.,high,7.9,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
CVE-2020-2673,CVE-118,CVE,initial-access,Critical vulnerability in software 118 allowing remote exploitation.,critical,9.0,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
CVE-2021-1956,CVE-119,CVE,initial-access,Critical vulnerability in software 119 allowing remote exploitation.,high,7.0,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
T3388,TTP-120,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 120.,high,,
T4115,TTP-121,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 121.,high,,
CVE-2022-2409,CVE-122,CVE,privilege-escalation,Critical vulnerability in software 122 allowing remote exploitation.,critical,7.2,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T4896,TTP-123,TTP,discovery,Adversaries may perform malicious activity related to TTP 123.,high,,
T4374,TTP-124,TTP,impact,Adversaries may perform malicious activity related to TTP 124.,medium,,
CVE-2022-4532,CVE-125,CVE,initial-access,Critical vulnerability in software 125 allowing remote exploitation.,critical,9.4,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
CVE-2024-5170,CVE-126,CVE,execution,Critical vulnerability in software 126 allowing remote exploitation.,high,8.6,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
CVE-2023-8620,CVE-127,CVE,privilege-escalation,Critical vulnerability in software 127 allowing remote exploitation.,critical,8.6,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
CVE-2025-5402,CVE-128,CVE,execution,Critical vulnerability in software 128 allowing remote exploitation.,critical,9.2,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H
CVE-2022-7860,CVE-129,CVE,execution,Critical vulnerability in software 129 allowing remote exploitation.,high,9.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
T3608,TTP-130,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 130.,high,,
CVE-2024-4344,CVE-131,CVE,execution,Critical vulnerability in software 131 allowing remote exploitation.,high,9.9,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
T1820,TTP-132,TTP,impact,Adversaries may perform malicious activity related to TTP 132.,medium,,
T1995,TTP-133,TTP,impact,Adversaries may perform malicious activity related to TTP 133.,medium,,
T4095,TTP-134,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 134.,high,,
CVE-2022-4419,CVE-135,CVE,initial-access,Critical vulnerability in software 135 allowing remote exploitation.,high,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
CVE-2023-9434,CVE-136,CVE,privilege-escalation,Critical vulnerability in software 136 allowing remote exploitation.,high,9.3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
CVE-2022-2051,CVE-137,CVE,execution,Critical vulnerability in software 137 allowing remote exploitation.,critical,9.2,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T2733,TTP-138,TTP,execution,Adversaries may perform malicious activity related to TTP 138.,high,,
T8458,TTP-139,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 139.,critical,,
CVE-2021-8477,CVE-140,CVE,execution,Critical vulnerability in software 140 allowing remote exploitation.,high,8.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
CVE-2021-5036,CVE-141,CVE,execution,Critical vulnerability in software 141 allowing remote exploitation.,high,9.7,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H
CVE-2025-6277,CVE-142,CVE,execution,Critical vulnerability in software 142 allowing remote exploitation.,high,7.1,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
CVE-2021-3111,CVE-143,CVE,execution,Critical vulnerability in software 143 allowing remote exploitation.,critical,9.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
T3915,TTP-144,TTP,execution,Adversaries may perform malicious activity related to TTP 144.,high,,
T9375,TTP-145,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 145.,high,,
T8411,TTP-146,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 146.,high,,
T3614,TTP-147,TTP,execution,Adversaries may perform malicious activity related to TTP 147.,high,,
CVE-2021-6051,CVE-148,CVE,privilege-escalation,Critical vulnerability in software 148 allowing remote exploitation.,high,9.6,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
T6687,TTP-149,TTP,discovery,Adversaries may perform malicious activity related to TTP 149.,medium,,
CVE-2021-3485,CVE-150,CVE,initial-access,Critical vulnerability in software 150 allowing remote exploitation.,critical,7.1,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
T5497,TTP-151,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 151.,high,,
CVE-2021-1706,CVE-152,CVE,initial-access,Critical vulnerability in software 152 allowing remote exploitation.,critical,8.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
CVE-2024-3145,CVE-153,CVE,execution,Critical vulnerability in software 153 allowing remote exploitation.,critical,7.4,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
CVE-2023-6002,CVE-154,CVE,initial-access,Critical vulnerability in software 154 allowing remote exploitation.,high,8.4,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
CVE-2025-2628,CVE-155,CVE,execution,Critical vulnerability in software 155 allowing remote exploitation.,high,9.7,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
CVE-2024-2110,CVE-156,CVE,privilege-escalation,Critical vulnerability in software 156 allowing remote exploitation.,high,7.9,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
T5725,TTP-157,TTP,discovery,Adversaries may perform malicious activity related to TTP 157.,high,,
CVE-2020-1691,CVE-158,CVE,initial-access,Critical vulnerability in software 158 allowing remote exploitation.,critical,9.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
CVE-2021-7759,CVE-159,CVE,privilege-escalation,Critical vulnerability in software 159 allowing remote exploitation.,high,8.6,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T2866,TTP-160,TTP,discovery,Adversaries may perform malicious activity related to TTP 160.,critical,,
CVE-2025-8720,CVE-161,CVE,execution,Critical vulnerability in software 161 allowing remote exploitation.,high,8.8,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H
T2195,TTP-162,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 162.,critical,,
CVE-2024-3632,CVE-163,CVE,privilege-escalation,Critical vulnerability in software 163 allowing remote exploitation.,critical,7.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T6234,TTP-164,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 164.,high,,
CVE-2024-2988,CVE-165,CVE,execution,Critical vulnerability in software 165 allowing remote exploitation.,critical,9.0,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
CVE-2022-7121,CVE-166,CVE,initial-access,Critical vulnerability in software 166 allowing remote exploitation.,high,7.4,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H
CVE-2022-9424,CVE-167,CVE,initial-access,Critical vulnerability in software 167 allowing remote exploitation.,critical,7.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H
CVE-2024-9666,CVE-168,CVE,privilege-escalation,Critical vulnerability in software 168 allowing remote exploitation.,critical,9.0,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H
CVE-2025-4098,CVE-169,CVE,initial-access,Critical vulnerability in software 169 allowing remote exploitation.,critical,8.8,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
T3994,TTP-170,TTP,discovery,Adversaries may perform malicious activity related to TTP 170.,critical,,
T8280,TTP-171,TTP,execution,Adversaries may perform malicious activity related to TTP 171.,high,,
CVE-2021-2356,CVE-172,CVE,execution,Critical vulnerability in software 172 allowing remote exploitation.,critical,7.1,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
CVE-2022-6900,CVE-173,CVE,privilege-escalation,Critical vulnerability in software 173 allowing remote exploitation.,critical,9.4,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
T2728,TTP-174,TTP,discovery,Adversaries may perform malicious activity related to TTP 174.,high,,
T9938,TTP-175,TTP,discovery,Adversaries may perform malicious activity related to TTP 175.,critical,,
T4866,TTP-176,TTP,impact,Adversaries may perform malicious activity related to TTP 176.,medium,,
CVE-2020-7038,CVE-177,CVE,execution,Critical vulnerability in software 177 allowing remote exploitation.,high,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
T1711,TTP-178,TTP,discovery,Adversaries may perform malicious activity related to TTP 178.,high,,
CVE-2023-3653,CVE-179,CVE,initial-access,Critical vulnerability in software 179 allowing remote exploitation.,high,7.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
CVE-2021-2051,CVE-180,CVE,privilege-escalation,Critical vulnerability in software 180 allowing remote exploitation.,critical,7.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
CVE-2024-8292,CVE-181,CVE,execution,Critical vulnerability in software 181 allowing remote exploitation.,critical,7.7,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
T4188,TTP-182,TTP,execution,Adversaries may perform malicious activity related to TTP 182.,medium,,
T6913,TTP-183,TTP,discovery,Adversaries may perform malicious activity related to TTP 183.,medium,,
T1882,TTP-184,TTP,impact,Adversaries may perform malicious activity related to TTP 184.,high,,
T3516,TTP-185,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 185.,high,,
CVE-2023-6229,CVE-186,CVE,execution,Critical vulnerability in software 186 allowing remote exploitation.,high,8.4,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T1025,TTP-187,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 187.,medium,,
T2824,TTP-188,TTP,impact,Adversaries may perform malicious activity related to TTP 188.,high,,
T6752,TTP-189,TTP,impact,Adversaries may perform malicious activity related to TTP 189.,critical,,
T8665,TTP-190,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 190.,critical,,
T8003,TTP-191,TTP,impact,Adversaries may perform malicious activity related to TTP 191.,medium,,
CVE-2024-2010,CVE-192,CVE,initial-access,Critical vulnerability in software 192 allowing remote exploitation.,high,9.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
