source,target,type,weight,description
IT-08059,IT-01111,DEPENDS_ON,0.5,L'actif IT-08059 dépend de IT-01111.
IT-04011,IT-02796,DEPENDS_ON,0.8,L'actif IT-04011 dépend de IT-02796.
IT-07120,IT-02266,DEPENDS_ON,0.5,L'actif IT-07120 dépend de IT-02266.
IT-05303,IT-05972,DEPENDS_ON,0.8,L'actif IT-05303 dépend de IT-05972.
IT-07882,IT-01670,DEPENDS_ON,0.5,L'actif IT-07882 dépend de IT-01670.
IT-06993,IT-06960,DEPENDS_ON,0.8,L'actif IT-06993 dépend de IT-06960.
IT-07479,IT-02227,DEPENDS_ON,0.8,L'actif IT-07479 dépend de IT-02227.
IT-07976,IT-04026,DEPENDS_ON,0.8,L'actif IT-07976 dépend de IT-04026.
IT-07682,IT-02319,DEPENDS_ON,1.0,L'actif IT-07682 dépend de IT-02319.
IT-00968,IT-07280,DEPENDS_ON,0.8,L'actif IT-00968 dépend de IT-07280.
IT-04974,IT-01421,DEPENDS_ON,0.8,L'actif IT-04974 dépend de IT-01421.
IT-04931,IT-06333,DEPENDS_ON,1.0,L'actif IT-04931 dépend de IT-06333.
IT-06326,IT-01673,DEPENDS_ON,0.5,L'actif IT-06326 dépend de IT-01673.
IT-01147,IT-09322,DEPENDS_ON,0.8,L'actif IT-01147 dépend de IT-09322.
IT-09773,IT-00743,DEPENDS_ON,0.8,L'actif IT-09773 dépend de IT-00743.
IT-01878,IT-00357,DEPENDS_ON,0.5,L'actif IT-01878 dépend de IT-00357.
IT-05859,IT-05364,DEPENDS_ON,0.8,L'actif IT-05859 dépend de IT-05364.
IT-05433,IT-05554,DEPENDS_ON,1.0,L'actif IT-05433 dépend de IT-05554.
IT-08294,IT-03146,DEPENDS_ON,0.8,L'actif IT-08294 dépend de IT-03146.
IT-02716,IT-06254,DEPENDS_ON,0.5,L'actif IT-02716 dépend de IT-06254.
IT-08004,IT-09540,DEPENDS_ON,0.8,L'actif IT-08004 dépend de IT-09540.
IT-05611,IT-00112,DEPENDS_ON,1.0,L'actif IT-05611 dépend de IT-00112.
IT-00100,IT-00434,DEPENDS_ON,1.0,L'actif IT-00100 dépend de IT-00434.
IT-07030,IT-06750,DEPENDS_ON,0.8,L'actif IT-07030 dépend de IT-06750.
IT-00842,IT-01479,DEPENDS_ON,0.8,L'actif IT-00842 dépend de IT-01479.
IT-04472,IT-00749,DEPENDS_ON,0.8,L'actif IT-04472 dépend de IT-00749.
IT-09949,IT-08804,DEPENDS_ON,1.0,L'actif IT-09949 dépend de IT-08804.
IT-05287,IT-09555,DEPENDS_ON,0.5,L'actif IT-05287 dépend de IT-09555.
IT-05023,IT-06332,DEPENDS_ON,1.0,L'actif IT-05023 dépend de IT-06332.
IT-01164,IT-08794,DEPENDS_ON,0.8,L'actif IT-01164 dépend de IT-08794.
IT-07149,IT-08533,DEPENDS_ON,1.0,L'actif IT-07149 dépend de IT-08533.
IT-09564,IT-04048,DEPENDS_ON,1.0,L'actif IT-09564 dépend de IT-04048.
IT-07964,IT-08709,DEPENDS_ON,0.5,L'actif IT-07964 dépend de IT-08709.
IT-04308,IT-02668,DEPENDS_ON,0.5,L'actif IT-04308 dépend de IT-02668.
IT-06100,IT-06180,DEPENDS_ON,0.8,L'actif IT-06100 dépend de IT-06180.
IT-07998,IT-07550,DEPENDS_ON,1.0,L'actif IT-07998 dépend de IT-07550.
IT-05269,IT-08223,DEPENDS_ON,1.0,L'actif IT-05269 dépend de IT-08223.
IT-07978,IT-06456,DEPENDS_ON,0.8,L'actif IT-07978 dépend de IT-06456.
IT-03839,IT-03055,DEPENDS_ON,0.5,L'actif IT-03839 dépend de IT-03055.
IT-06958,IT-02963,DEPENDS_ON,1.0,L'actif IT-06958 dépend de IT-02963.
IT-02214,IT-09097,DEPENDS_ON,1.0,L'actif IT-02214 dépend de IT-09097.
IT-06623,IT-06462,DEPENDS_ON,1.0,L'actif IT-06623 dépend de IT-06462.
IT-03419,IT-03955,DEPENDS_ON,0.5,L'actif IT-03419 dépend de IT-03955.
IT-07318,IT-05800,DEPENDS_ON,0.5,L'actif IT-07318 dépend de IT-05800.
IT-07014,IT-02855,DEPENDS_ON,0.5,L'actif IT-07014 dépend de IT-02855.
IT-04053,IT-08475,DEPENDS_ON,0.5,L'actif IT-04053 dépend de IT-08475.
IT-08548,IT-00371,DEPENDS_ON,1.0,L'actif IT-08548 dépend de IT-00371.
IT-04543,IT-05849,DEPENDS_ON,1.0,L'actif IT-04543 dépend de IT-05849.
IT-03205,IT-05016,DEPENDS_ON,1.0,L'actif IT-03205 dépend de IT-05016.
IT-06927,IT-09069,DEPENDS_ON,0.8,L'actif IT-06927 dépend de IT-09069.
IT-01825,IT-02754,DEPENDS_ON,0.8,L'actif IT-01825 dépend de IT-02754.
IT-06147,IT-06839,DEPENDS_ON,0.5,L'actif IT-06147 dépend de IT-06839.
IT-00030,IT-03956,DEPENDS_ON,1.0,L'actif IT-00030 dépend de IT-03956.
IT-07385,IT-01410,DEPENDS_ON,1.0,L'actif IT-07385 dépend de IT-01410.
IT-05873,IT-07859,DEPENDS_ON,0.5,L'actif IT-05873 dépend de IT-07859.
IT-04335,IT-02361,DEPENDS_ON,0.5,L'actif IT-04335 dépend de IT-02361.
IT-06216,IT-09933,DEPENDS_ON,0.8,L'actif IT-06216 dépend de IT-09933.
IT-07691,IT-09027,DEPENDS_ON,1.0,L'actif IT-07691 dépend de IT-09027.
IT-02722,IT-00051,DEPENDS_ON,0.5,L'actif IT-02722 dépend de IT-00051.
IT-06985,IT-03082,DEPENDS_ON,0.8,L'actif IT-06985 dépend de IT-03082.
IT-00654,IT-08532,DEPENDS_ON,1.0,L'actif IT-00654 dépend de IT-08532.
IT-09474,IT-02243,DEPENDS_ON,1.0,L'actif IT-09474 dépend de IT-02243.
IT-02389,IT-05371,DEPENDS_ON,1.0,L'actif IT-02389 dépend de IT-05371.
IT-05943,IT-04167,DEPENDS_ON,0.5,L'actif IT-05943 dépend de IT-04167.
IT-08585,IT-06971,DEPENDS_ON,0.5,L'actif IT-08585 dépend de IT-06971.
IT-02716,IT-02440,DEPENDS_ON,0.5,L'actif IT-02716 dépend de IT-02440.
IT-08278,IT-00796,DEPENDS_ON,0.5,L'actif IT-08278 dépend de IT-00796.
IT-01602,IT-08319,DEPENDS_ON,0.5,L'actif IT-01602 dépend de IT-08319.
IT-07608,IT-09133,DEPENDS_ON,1.0,L'actif IT-07608 dépend de IT-09133.
IT-09269,IT-08371,DEPENDS_ON,1.0,L'actif IT-09269 dépend de IT-08371.
IT-01282,IT-04238,DEPENDS_ON,1.0,L'actif IT-01282 dépend de IT-04238.
IT-09848,IT-04300,DEPENDS_ON,0.5,L'actif IT-09848 dépend de IT-04300.
IT-01057,IT-09004,DEPENDS_ON,0.8,L'actif IT-01057 dépend de IT-09004.
IT-06646,IT-05166,DEPENDS_ON,0.8,L'actif IT-06646 dépend de IT-05166.
IT-01431,IT-01884,DEPENDS_ON,0.5,L'actif IT-01431 dépend de IT-01884.
IT-00500,IT-02058,DEPENDS_ON,0.5,L'actif IT-00500 dépend de IT-02058.
IT-07327,IT-05923,DEPENDS_ON,1.0,L'actif IT-07327 dépend de IT-05923.
IT-06229,IT-05965,DEPENDS_ON,1.0,L'actif IT-06229 dépend de IT-05965.
IT-08654,IT-08313,DEPENDS_ON,1.0,L'actif IT-08654 dépend de IT-08313.
IT-06922,IT-06592,DEPENDS_ON,1.0,L'actif IT-06922 dépend de IT-06592.
IT-09828,IT-06653,DEPENDS_ON,0.5,L'actif IT-09828 dépend de IT-06653.
IT-00952,IT-08743,DEPENDS_ON,0.5,L'actif IT-00952 dépend de IT-08743.
IT-07040,IT-01924,DEPENDS_ON,0.5,L'actif IT-07040 dépend de IT-01924.
IT-04478,IT-00136,DEPENDS_ON,0.8,L'actif IT-04478 dépend de IT-00136.
IT-08500,IT-08179,DEPENDS_ON,1.0,L'actif IT-08500 dépend de IT-08179.
IT-08052,IT-07039,DEPENDS_ON,0.8,L'actif IT-08052 dépend de IT-07039.
IT-01293,IT-04385,DEPENDS_ON,0.5,L'actif IT-01293 dépend de IT-04385.
IT-05092,IT-00071,DEPENDS_ON,0.5,L'actif IT-05092 dépend de IT-00071.
IT-00944,IT-06899,DEPENDS_ON,0.8,L'actif IT-00944 dépend de IT-06899.
IT-07889,IT-06213,DEPENDS_ON,0.5,L'actif IT-07889 dépend de IT-06213.
IT-05655,IT-07990,DEPENDS_ON,0.5,L'actif IT-05655 dépend de IT-07990.
IT-06545,IT-07965,DEPENDS_ON,1.0,L'actif IT-06545 dépend de IT-07965.
IT-03908,IT-03825,DEPENDS_ON,0.8,L'actif IT-03908 dépend de IT-03825.
IT-01077,IT-09162,DEPENDS_ON,0.8,L'actif IT-01077 dépend de IT-09162.
IT-02615,IT-05390,DEPENDS_ON,1.0,L'actif IT-02615 dépend de IT-05390.
IT-00850,IT-08796,DEPENDS_ON,1.0,L'actif IT-00850 dépend de IT-08796.
IT-00196,IT-01871,DEPENDS_ON,0.5,L'actif IT-00196 dépend de IT-01871.
IT-01105,IT-09585,DEPENDS_ON,0.8,L'actif IT-01105 dépend de IT-09585.
IT-03064,IT-09087,DEPENDS_ON,0.8,L'actif IT-03064 dépend de IT-09087.
IT-08779,IT-09004,DEPENDS_ON,1.0,L'actif IT-08779 dépend de IT-09004.
IT-07210,IT-06704,DEPENDS_ON,0.5,L'actif IT-07210 dépend de IT-06704.
IT-06117,IT-06492,DEPENDS_ON,1.0,L'actif IT-06117 dépend de IT-06492.
IT-01055,IT-05652,DEPENDS_ON,1.0,L'actif IT-01055 dépend de IT-05652.
IT-07388,IT-04227,DEPENDS_ON,0.5,L'actif IT-07388 dépend de IT-04227.
IT-00570,IT-02131,DEPENDS_ON,0.8,L'actif IT-00570 dépend de IT-02131.
IT-02280,IT-08015,DEPENDS_ON,0.5,L'actif IT-02280 dépend de IT-08015.
IT-04804,IT-03311,DEPENDS_ON,0.8,L'actif IT-04804 dépend de IT-03311.
IT-06953,IT-08041,DEPENDS_ON,0.8,L'actif IT-06953 dépend de IT-08041.
IT-04111,IT-01984,DEPENDS_ON,0.8,L'actif IT-04111 dépend de IT-01984.
IT-01884,IT-01148,DEPENDS_ON,0.5,L'actif IT-01884 dépend de IT-01148.
IT-02654,IT-03818,DEPENDS_ON,0.8,L'actif IT-02654 dépend de IT-03818.
IT-02854,IT-01126,DEPENDS_ON,0.5,L'actif IT-02854 dépend de IT-01126.
IT-02506,IT-08881,DEPENDS_ON,0.5,L'actif IT-02506 dépend de IT-08881.
IT-01517,IT-02685,DEPENDS_ON,0.8,L'actif IT-01517 dépend de IT-02685.
IT-08892,IT-02949,DEPENDS_ON,0.5,L'actif IT-08892 dépend de IT-02949.
IT-02798,IT-08953,DEPENDS_ON,1.0,L'actif IT-02798 dépend de IT-08953.
IT-09878,IT-09015,DEPENDS_ON,0.8,L'actif IT-09878 dépend de IT-09015.
IT-02383,IT-03783,DEPENDS_ON,1.0,L'actif IT-02383 dépend de IT-03783.
IT-00258,IT-06198,DEPENDS_ON,1.0,L'actif IT-00258 dépend de IT-06198.
IT-04787,IT-08521,DEPENDS_ON,0.8,L'actif IT-04787 dépend de IT-08521.
IT-00993,IT-04221,DEPENDS_ON,0.8,L'actif IT-00993 dépend de IT-04221.
IT-08115,IT-01501,DEPENDS_ON,1.0,L'actif IT-08115 dépend de IT-01501.
IT-07106,IT-05559,DEPENDS_ON,0.5,L'actif IT-07106 dépend de IT-05559.
IT-04951,IT-04921,DEPENDS_ON,0.8,L'actif IT-04951 dépend de IT-04921.
IT-02658,IT-06414,DEPENDS_ON,0.8,L'actif IT-02658 dépend de IT-06414.
IT-03387,IT-03103,DEPENDS_ON,0.5,L'actif IT-03387 dépend de IT-03103.
IT-03228,IT-08312,DEPENDS_ON,0.8,L'actif IT-03228 dépend de IT-08312.
IT-05966,IT-04191,DEPENDS_ON,0.5,L'actif IT-05966 dépend de IT-04191.
IT-03459,IT-09917,DEPENDS_ON,0.5,L'actif IT-03459 dépend de IT-09917.
IT-03559,IT-08155,DEPENDS_ON,0.5,L'actif IT-03559 dépend de IT-08155.
IT-02096,IT-09122,DEPENDS_ON,1.0,L'actif IT-02096 dépend de IT-09122.
IT-06173,IT-06551,DEPENDS_ON,0.5,L'actif IT-06173 dépend de IT-06551.
IT-05135,IT-03909,DEPENDS_ON,0.5,L'actif IT-05135 dépend de IT-03909.
IT-00123,IT-01040,DEPENDS_ON,0.5,L'actif IT-00123 dépend de IT-01040.
IT-03392,IT-07650,DEPENDS_ON,0.8,L'actif IT-03392 dépend de IT-07650.
IT-07447,IT-04682,DEPENDS_ON,0.8,L'actif IT-07447 dépend de IT-04682.
IT-06386,IT-02643,DEPENDS_ON,1.0,L'actif IT-06386 dépend de IT-02643.
IT-01226,IT-07976,DEPENDS_ON,0.5,L'actif IT-01226 dépend de IT-07976.
IT-02925,IT-04638,DEPENDS_ON,0.5,L'actif IT-02925 dépend de IT-04638.
IT-00099,IT-09121,DEPENDS_ON,1.0,L'actif IT-00099 dépend de IT-09121.
IT-09950,IT-09756,DEPENDS_ON,0.8,L'actif IT-09950 dépend de IT-09756.
IT-07459,IT-03902,DEPENDS_ON,1.0,L'actif IT-07459 dépend de IT-03902.
IT-09601,IT-02230,DEPENDS_ON,0.5,L'actif IT-09601 dépend de IT-02230.
IT-02032,IT-08611,DEPENDS_ON,1.0,L'actif IT-02032 dépend de IT-08611.
IT-00278,IT-04554,DEPENDS_ON,0.5,L'actif IT-00278 dépend de IT-04554.
IT-07757,IT-01432,DEPENDS_ON,0.5,L'actif IT-07757 dépend de IT-01432.
IT-00677,IT-08873,DEPENDS_ON,1.0,L'actif IT-00677 dépend de IT-08873.
IT-04903,IT-01688,DEPENDS_ON,1.0,L'actif IT-04903 dépend de IT-01688.
IT-01153,IT-04455,DEPENDS_ON,0.5,L'actif IT-01153 dépend de IT-04455.
IT-09565,IT-02132,DEPENDS_ON,0.8,L'actif IT-09565 dépend de IT-02132.
IT-01895,IT-03108,DEPENDS_ON,0.5,L'actif IT-01895 dépend de IT-03108.
IT-06070,IT-03643,DEPENDS_ON,0.5,L'actif IT-06070 dépend de IT-03643.
IT-05117,IT-01218,DEPENDS_ON,0.5,L'actif IT-05117 dépend de IT-01218.
IT-00136,IT-04043,DEPENDS_ON,0.5,L'actif IT-00136 dépend de IT-04043.
IT-09679,IT-01633,DEPENDS_ON,1.0,L'actif IT-09679 dépend de IT-01633.
IT-08110,IT-07573,DEPENDS_ON,0.8,L'actif IT-08110 dépend de IT-07573.
IT-06655,IT-05982,DEPENDS_ON,0.8,L'actif IT-06655 dépend de IT-05982.
IT-00663,IT-07268,DEPENDS_ON,0.8,L'actif IT-00663 dépend de IT-07268.
IT-07773,IT-02329,DEPENDS_ON,0.8,L'actif IT-07773 dépend de IT-02329.
IT-01991,IT-01246,DEPENDS_ON,0.8,L'actif IT-01991 dépend de IT-01246.
IT-01452,IT-09137,DEPENDS_ON,0.8,L'actif IT-01452 dépend de IT-09137.
IT-01479,IT-01886,DEPENDS_ON,0.8,L'actif IT-01479 dépend de IT-01886.
IT-07538,IT-04206,DEPENDS_ON,0.8,L'actif IT-07538 dépend de IT-04206.
IT-07478,IT-00822,DEPENDS_ON,0.5,L'actif IT-07478 dépend de IT-00822.
IT-03497,IT-02232,DEPENDS_ON,0.8,L'actif IT-03497 dépend de IT-02232.
IT-01410,IT-02702,DEPENDS_ON,1.0,L'actif IT-01410 dépend de IT-02702.
IT-07591,IT-04495,DEPENDS_ON,0.5,L'actif IT-07591 dépend de IT-04495.
IT-09914,IT-02461,DEPENDS_ON,0.8,L'actif IT-09914 dépend de IT-02461.
IT-05164,IT-03367,DEPENDS_ON,0.8,L'actif IT-05164 dépend de IT-03367.
IT-04628,IT-08180,DEPENDS_ON,0.8,L'actif IT-04628 dépend de IT-08180.
IT-06108,IT-02809,DEPENDS_ON,0.5,L'actif IT-06108 dépend de IT-02809.
IT-05248,IT-02424,DEPENDS_ON,0.5,L'actif IT-05248 dépend de IT-02424.
IT-04684,IT-06232,DEPENDS_ON,0.8,L'actif IT-04684 dépend de IT-06232.
IT-02372,IT-05212,DEPENDS_ON,0.8,L'actif IT-02372 dépend de IT-05212.
IT-06752,IT-03663,DEPENDS_ON,0.8,L'actif IT-06752 dépend de IT-03663.
IT-01454,IT-03300,DEPENDS_ON,1.0,L'actif IT-01454 dépend de IT-03300.
IT-06835,IT-02955,DEPENDS_ON,0.8,L'actif IT-06835 dépend de IT-02955.
IT-09836,IT-01900,DEPENDS_ON,0.5,L'actif IT-09836 dépend de IT-01900.
IT-01009,IT-09600,DEPENDS_ON,1.0,L'actif IT-01009 dépend de IT-09600.
IT-01568,IT-01846,DEPENDS_ON,0.5,L'actif IT-01568 dépend de IT-01846.
IT-01265,IT-02662,DEPENDS_ON,0.5,L'actif IT-01265 dépend de IT-02662.
IT-04762,IT-03607,DEPENDS_ON,0.8,L'actif IT-04762 dépend de IT-03607.
IT-09967,IT-09027,DEPENDS_ON,0.5,L'actif IT-09967 dépend de IT-09027.
IT-01590,IT-07314,DEPENDS_ON,0.5,L'actif IT-01590 dépend de IT-07314.
IT-09405,IT-03139,DEPENDS_ON,0.8,L'actif IT-09405 dépend de IT-03139.
IT-04548,IT-03158,DEPENDS_ON,1.0,L'actif IT-04548 dépend de IT-03158.
IT-05567,IT-03306,DEPENDS_ON,1.0,L'actif IT-05567 dépend de IT-03306.
IT-07753,IT-00163,DEPENDS_ON,0.8,L'actif IT-07753 dépend de IT-00163.
IT-08516,IT-07225,DEPENDS_ON,0.5,L'actif IT-08516 dépend de IT-07225.
IT-05073,IT-08136,DEPENDS_ON,0.8,L'actif IT-05073 dépend de IT-08136.
IT-00528,IT-02075,DEPENDS_ON,1.0,L'actif IT-00528 dépend de IT-02075.
IT-06173,IT-09200,DEPENDS_ON,0.8,L'actif IT-06173 dépend de IT-09200.
IT-08605,IT-09132,DEPENDS_ON,1.0,L'actif IT-08605 dépend de IT-09132.
IT-07567,IT-05643,DEPENDS_ON,0.5,L'actif IT-07567 dépend de IT-05643.
IT-08424,IT-02079,DEPENDS_ON,1.0,L'actif IT-08424 dépend de IT-02079.
IT-07389,IT-05953,DEPENDS_ON,0.8,L'actif IT-07389 dépend de IT-05953.
IT-01388,IT-04462,DEPENDS_ON,0.8,L'actif IT-01388 dépend de IT-04462.
IT-02802,IT-00777,DEPENDS_ON,1.0,L'actif IT-02802 dépend de IT-00777.
IT-00537,IT-05703,DEPENDS_ON,0.5,L'actif IT-00537 dépend de IT-05703.
IT-08368,IT-01532,DEPENDS_ON,0.5,L'actif IT-08368 dépend de IT-01532.
IT-06682,IT-05892,DEPENDS_ON,0.5,L'actif IT-06682 dépend de IT-05892.
IT-09955,IT-03125,DEPENDS_ON,1.0,L'actif IT-09955 dépend de IT-03125.
IT-03793,IT-03282,DEPENDS_ON,1.0,L'actif IT-03793 dépend de IT-03282.
IT-03559,IT-05461,DEPENDS_ON,1.0,L'actif IT-03559 dépend de IT-05461.
IT-03407,IT-04634,DEPENDS_ON,1.0,L'actif IT-03407 dépend de IT-04634.
IT-08525,IT-03112,DEPENDS_ON,0.5,L'actif IT-08525 dépend de IT-03112.
IT-01560,IT-03546,DEPENDS_ON,0.5,L'actif IT-01560 dépend de IT-03546.
IT-00165,IT-04157,DEPENDS_ON,0.8,L'actif IT-00165 dépend de IT-04157.
IT-02371,IT-02916,DEPENDS_ON,1.0,L'actif IT-02371 dépend de IT-02916.
IT-06090,IT-08020,DEPENDS_ON,0.5,L'actif IT-06090 dépend de IT-08020.
IT-05395,IT-05276,DEPENDS_ON,0.5,L'actif IT-05395 dépend de IT-05276.
IT-09074,IT-06086,DEPENDS_ON,0.8,L'actif IT-09074 dépend de IT-06086.
IT-05797,IT-07180,DEPENDS_ON,1.0,L'actif IT-05797 dépend de IT-07180.
IT-02394,IT-00529,DEPENDS_ON,1.0,L'actif IT-02394 dépend de IT-00529.
IT-09702,IT-05799,DEPENDS_ON,1.0,L'actif IT-09702 dépend de IT-05799.
IT-08951,IT-07506,DEPENDS_ON,0.8,L'actif IT-08951 dépend de IT-07506.
IT-06048,IT-01419,DEPENDS_ON,1.0,L'actif IT-06048 dépend de IT-01419.
IT-08541,IT-03368,DEPENDS_ON,1.0,L'actif IT-08541 dépend de IT-03368.
IT-02531,IT-06624,DEPENDS_ON,0.5,L'actif IT-02531 dépend de IT-06624.
IT-00046,IT-06160,DEPENDS_ON,1.0,L'actif IT-00046 dépend de IT-06160.
IT-04793,IT-01848,DEPENDS_ON,1.0,L'actif IT-04793 dépend de IT-01848.
IT-05358,IT-01851,DEPENDS_ON,1.0,L'actif IT-05358 dépend de IT-01851.
IT-08822,IT-08674,DEPENDS_ON,0.8,L'actif IT-08822 dépend de IT-08674.
IT-07963,IT-03123,DEPENDS_ON,1.0,L'actif IT-07963 dépend de IT-03123.
IT-00358,IT-07257,DEPENDS_ON,1.0,L'actif IT-00358 dépend de IT-07257.
IT-03430,IT-04454,DEPENDS_ON,0.5,L'actif IT-03430 dépend de IT-04454.
IT-04925,IT-04272,DEPENDS_ON,1.0,L'actif IT-04925 dépend de IT-04272.
IT-01999,IT-01386,DEPENDS_ON,1.0,L'actif IT-01999 dépend de IT-01386.
IT-09711,IT-05547,DEPENDS_ON,1.0,L'actif IT-09711 dépend de IT-05547.
IT-04858,IT-05835,DEPENDS_ON,0.8,L'actif IT-04858 dépend de IT-05835.
IT-05426,IT-05066,DEPENDS_ON,1.0,L'actif IT-05426 dépend de IT-05066.
IT-07604,IT-09574,DEPENDS_ON,0.5,L'actif IT-07604 dépend de IT-09574.
IT-02328,IT-07148,DEPENDS_ON,0.8,L'actif IT-02328 dépend de IT-07148.
IT-02334,IT-01857,DEPENDS_ON,0.5,L'actif IT-02334 dépend de IT-01857.
IT-03952,IT-09085,DEPENDS_ON,0.8,L'actif IT-03952 dépend de IT-09085.
IT-01955,IT-07268,DEPENDS_ON,1.0,L'actif IT-01955 dépend de IT-07268.
IT-06466,IT-05544,DEPENDS_ON,1.0,L'actif IT-06466 dépend de IT-05544.
IT-07091,IT-05624,DEPENDS_ON,1.0,L'actif IT-07091 dépend de IT-05624.
IT-05519,IT-03712,DEPENDS_ON,1.0,L'actif IT-05519 dépend de IT-03712.
IT-03743,IT-00203,DEPENDS_ON,0.8,L'actif IT-03743 dépend de IT-00203.
IT-07407,IT-04038,DEPENDS_ON,1.0,L'actif IT-07407 dépend de IT-04038.
IT-00441,IT-07939,DEPENDS_ON,1.0,L'actif IT-00441 dépend de IT-07939.
IT-03423,IT-07339,DEPENDS_ON,0.8,L'actif IT-03423 dépend de IT-07339.
IT-01161,IT-08453,DEPENDS_ON,1.0,L'actif IT-01161 dépend de IT-08453.
IT-06139,IT-09118,DEPENDS_ON,0.5,L'actif IT-06139 dépend de IT-09118.
IT-02767,IT-01713,DEPENDS_ON,0.8,L'actif IT-02767 dépend de IT-01713.
IT-01345,IT-01743,DEPENDS_ON,0.5,L'actif IT-01345 dépend de IT-01743.
IT-01910,IT-01868,DEPENDS_ON,0.5,L'actif IT-01910 dépend de IT-01868.
IT-09744,IT-07681,DEPENDS_ON,1.0,L'actif IT-09744 dépend de IT-07681.
IT-05969,IT-02123,DEPENDS_ON,1.0,L'actif IT-05969 dépend de IT-02123.
IT-03456,IT-00189,DEPENDS_ON,0.8,L'actif IT-03456 dépend de IT-00189.
IT-00115,IT-04181,DEPENDS_ON,0.8,L'actif IT-00115 dépend de IT-04181.
IT-04345,IT-04778,DEPENDS_ON,1.0,L'actif IT-04345 dépend de IT-04778.
