source,target,type,impact_score,mitigation
CVE-2021-3088,IT-02184,TARGETS,1.0,Isoler IT-02184 et appliquer les correctifs pour CVE-2021-3088.
CVE-2024-6816,IT-05203,TARGETS,0.78,Isoler IT-05203 et appliquer les correctifs pour CVE-2024-6816.
CVE-2024-2124,IT-02672,TARGETS,0.69,Isoler IT-02672 et appliquer les correctifs pour CVE-2024-2124.
T2917,IT-00114,TARGETS,0.97,Isoler IT-00114 et appliquer les correctifs pour T2917.
CVE-2023-7120,IT-09782,TARGETS,0.88,Isoler IT-09782 et appliquer les correctifs pour CVE-2023-7120.
T3053,IT-02806,TARGETS,0.52,Isoler IT-02806 et appliquer les correctifs pour T3053.
T3421,IT-04082,TARGETS,0.93,Isoler IT-04082 et appliquer les correctifs pour T3421.
T5522,IT-00820,TARGETS,0.6,Isoler IT-00820 et appliquer les correctifs pour T5522.
CVE-2022-9902,IT-06395,TARGETS,0.72,Isoler IT-06395 et appliquer les correctifs pour CVE-2022-9902.
T8541,IT-06117,TARGETS,0.52,Isoler IT-06117 et appliquer les correctifs pour T8541.
T1020,IT-09611,TARGETS,0.72,Isoler IT-09611 et appliquer les correctifs pour T1020.
T5102,IT-04080,TARGETS,0.73,Isoler IT-04080 et appliquer les correctifs pour T5102.
CVE-2025-8430,IT-00317,TARGETS,0.59,Isoler IT-00317 et appliquer les correctifs pour CVE-2025-8430.
T1870,IT-05244,TARGETS,0.51,Isoler IT-05244 et appliquer les correctifs pour T1870.
CVE-2021-7759,IT-02514,TARGETS,0.73,Isoler IT-02514 et appliquer les correctifs pour CVE-2021-7759.
CVE-2025-9974,IT-01753,TARGETS,0.6,Isoler IT-01753 et appliquer les correctifs pour CVE-2025-9974.
T4233,IT-02197,TARGETS,0.73,Isoler IT-02197 et appliquer les correctifs pour T4233.
CVE-2025-3838,IT-09587,TARGETS,0.97,Isoler IT-09587 et appliquer les correctifs pour CVE-2025-3838.
CVE-2021-6157,IT-05512,TARGETS,0.57,Isoler IT-05512 et appliquer les correctifs pour CVE-2021-6157.
T5070,IT-03532,TARGETS,0.71,Isoler IT-03532 et appliquer les correctifs pour T5070.
T5466,IT-00976,TARGETS,0.94,Isoler IT-00976 et appliquer les correctifs pour T5466.
CVE-2020-8202,IT-01991,TARGETS,0.68,Isoler IT-01991 et appliquer les correctifs pour CVE-2020-8202.
T9440,IT-05549,TARGETS,0.96,Isoler IT-05549 et appliquer les correctifs pour T9440.
CVE-2017-0144,IT-00790,TARGETS,0.74,Isoler IT-00790 et appliquer les correctifs pour CVE-2017-0144.
T3260,IT-00689,TARGETS,0.71,Isoler IT-00689 et appliquer les correctifs pour T3260.
CVE-2025-9800,IT-06427,TARGETS,0.87,Isoler IT-06427 et appliquer les correctifs pour CVE-2025-9800.
CVE-2020-4859,IT-08993,TARGETS,0.74,Isoler IT-08993 et appliquer les correctifs pour CVE-2020-4859.
T1101,IT-04996,TARGETS,0.89,Isoler IT-04996 et appliquer les correctifs pour T1101.
T1882,IT-00662,TARGETS,0.56,Isoler IT-00662 et appliquer les correctifs pour T1882.
CVE-2021-1819,IT-04416,TARGETS,0.83,Isoler IT-04416 et appliquer les correctifs pour CVE-2021-1819.
CVE-2020-4287,IT-04099,TARGETS,0.82,Isoler IT-04099 et appliquer les correctifs pour CVE-2020-4287.
CVE-2022-4176,IT-05573,TARGETS,0.64,Isoler IT-05573 et appliquer les correctifs pour CVE-2022-4176.
CVE-2022-4953,IT-09956,TARGETS,0.62,Isoler IT-09956 et appliquer les correctifs pour CVE-2022-4953.
CVE-2021-7759,IT-08476,TARGETS,0.86,Isoler IT-08476 et appliquer les correctifs pour CVE-2021-7759.
T4866,IT-00084,TARGETS,0.79,Isoler IT-00084 et appliquer les correctifs pour T4866.
T1917,IT-09657,TARGETS,0.56,Isoler IT-09657 et appliquer les correctifs pour T1917.
T3845,IT-07085,TARGETS,0.64,Isoler IT-07085 et appliquer les correctifs pour T3845.
T5950,IT-00936,TARGETS,1.0,Isoler IT-00936 et appliquer les correctifs pour T5950.
CVE-2020-1261,IT-01098,TARGETS,0.94,Isoler IT-01098 et appliquer les correctifs pour CVE-2020-1261.
T6565,IT-01630,TARGETS,0.62,Isoler IT-01630 et appliquer les correctifs pour T6565.
CVE-2020-7762,IT-05325,TARGETS,0.51,Isoler IT-05325 et appliquer les correctifs pour CVE-2020-7762.
T8548,IT-07515,TARGETS,0.71,Isoler IT-07515 et appliquer les correctifs pour T8548.
T2435,IT-06048,TARGETS,0.95,Isoler IT-06048 et appliquer les correctifs pour T2435.
T8411,IT-02912,TARGETS,0.68,Isoler IT-02912 et appliquer les correctifs pour T8411.
T3080,IT-08889,TARGETS,0.64,Isoler IT-08889 et appliquer les correctifs pour T3080.
T8120,IT-02379,TARGETS,0.54,Isoler IT-02379 et appliquer les correctifs pour T8120.
CVE-2024-3069,IT-00872,TARGETS,0.96,Isoler IT-00872 et appliquer les correctifs pour CVE-2024-3069.
CVE-2025-6336,IT-03559,TARGETS,0.59,Isoler IT-03559 et appliquer les correctifs pour CVE-2025-6336.
CVE-2020-4341,IT-00966,TARGETS,0.8,Isoler IT-00966 et appliquer les correctifs pour CVE-2020-4341.
CVE-2023-1925,IT-02341,TARGETS,0.55,Isoler IT-02341 et appliquer les correctifs pour CVE-2023-1925.
T2640,IT-04184,TARGETS,0.68,Isoler IT-04184 et appliquer les correctifs pour T2640.
T2522,IT-02318,TARGETS,0.53,Isoler IT-02318 et appliquer les correctifs pour T2522.
T5231,IT-08458,TARGETS,0.99,Isoler IT-08458 et appliquer les correctifs pour T5231.
CVE-2022-5269,IT-03143,TARGETS,0.65,Isoler IT-03143 et appliquer les correctifs pour CVE-2022-5269.
T3365,IT-03135,TARGETS,0.89,Isoler IT-03135 et appliquer les correctifs pour T3365.
CVE-2025-9502,IT-04092,TARGETS,0.83,Isoler IT-04092 et appliquer les correctifs pour CVE-2025-9502.
CVE-2024-4917,IT-00578,TARGETS,0.93,Isoler IT-00578 et appliquer les correctifs pour CVE-2024-4917.
T3915,IT-01303,TARGETS,0.78,Isoler IT-01303 et appliquer les correctifs pour T3915.
CVE-2024-4344,IT-00688,TARGETS,0.59,Isoler IT-00688 et appliquer les correctifs pour CVE-2024-4344.
CVE-2020-8718,IT-06525,TARGETS,0.89,Isoler IT-06525 et appliquer les correctifs pour CVE-2020-8718.
CVE-2022-5850,IT-00293,TARGETS,0.62,Isoler IT-00293 et appliquer les correctifs pour CVE-2022-5850.
CVE-2025-7136,IT-00359,TARGETS,0.7,Isoler IT-00359 et appliquer les correctifs pour CVE-2025-7136.
T8446,IT-07979,TARGETS,0.6,Isoler IT-07979 et appliquer les correctifs pour T8446.
T8676,IT-09652,TARGETS,0.52,Isoler IT-09652 et appliquer les correctifs pour T8676.
T4872,IT-02873,TARGETS,0.8,Isoler IT-02873 et appliquer les correctifs pour T4872.
CVE-2022-2053,IT-07596,TARGETS,0.51,Isoler IT-07596 et appliquer les correctifs pour CVE-2022-2053.
CVE-2023-9434,IT-08563,TARGETS,0.77,Isoler IT-08563 et appliquer les correctifs pour CVE-2023-9434.
T2571,IT-07898,TARGETS,0.94,Isoler IT-07898 et appliquer les correctifs pour T2571.
T4721,IT-01913,TARGETS,0.73,Isoler IT-01913 et appliquer les correctifs pour T4721.
T2299,IT-02934,TARGETS,0.8,Isoler IT-02934 et appliquer les correctifs pour T2299.
CVE-2023-3221,IT-07832,TARGETS,0.86,Isoler IT-07832 et appliquer les correctifs pour CVE-2023-3221.
CVE-2021-6157,IT-00181,TARGETS,0.72,Isoler IT-00181 et appliquer les correctifs pour CVE-2021-6157.
T4491,IT-04449,TARGETS,0.92,Isoler IT-04449 et appliquer les correctifs pour T4491.
CVE-2023-3332,IT-00924,TARGETS,0.56,Isoler IT-00924 et appliquer les correctifs pour CVE-2023-3332.
CVE-2022-7754,IT-00472,TARGETS,0.92,Isoler IT-00472 et appliquer les correctifs pour CVE-2022-7754.
CVE-2021-8055,IT-02157,TARGETS,0.77,Isoler IT-02157 et appliquer les correctifs pour CVE-2021-8055.
CVE-2021-7016,IT-04684,TARGETS,0.88,Isoler IT-04684 et appliquer les correctifs pour CVE-2021-7016.
CVE-2023-2599,IT-05258,TARGETS,0.99,Isoler IT-05258 et appliquer les correctifs pour CVE-2023-2599.
T1917,IT-01331,TARGETS,0.73,Isoler IT-01331 et appliquer les correctifs pour T1917.
CVE-2025-9815,IT-02330,TARGETS,0.64,Isoler IT-02330 et appliquer les correctifs pour CVE-2025-9815.
CVE-2021-5080,IT-03874,TARGETS,0.85,Isoler IT-03874 et appliquer les correctifs pour CVE-2021-5080.
CVE-2025-4681,IT-01188,TARGETS,0.86,Isoler IT-01188 et appliquer les correctifs pour CVE-2025-4681.
CVE-2021-7016,IT-00434,TARGETS,0.93,Isoler IT-00434 et appliquer les correctifs pour CVE-2021-7016.
CVE-2021-44228,IT-05012,TARGETS,0.84,Isoler IT-05012 et appliquer les correctifs pour CVE-2021-44228.
T3388,IT-02008,TARGETS,0.63,Isoler IT-02008 et appliquer les correctifs pour T3388.
CVE-2025-7091,IT-08513,TARGETS,0.98,Isoler IT-08513 et appliquer les correctifs pour CVE-2025-7091.
T4188,IT-09760,TARGETS,0.58,Isoler IT-09760 et appliquer les correctifs pour T4188.
CVE-2024-3072,IT-09031,TARGETS,0.7,Isoler IT-09031 et appliquer les correctifs pour CVE-2024-3072.
T4866,IT-08332,TARGETS,0.84,Isoler IT-08332 et appliquer les correctifs pour T4866.
T3045,IT-02523,TARGETS,0.66,Isoler IT-02523 et appliquer les correctifs pour T3045.
CVE-2022-3331,IT-03085,TARGETS,0.69,Isoler IT-03085 et appliquer les correctifs pour CVE-2022-3331.
T2428,IT-08764,TARGETS,0.9,Isoler IT-08764 et appliquer les correctifs pour T2428.
CVE-2024-3659,IT-02307,TARGETS,0.93,Isoler IT-02307 et appliquer les correctifs pour CVE-2024-3659.
T2687,IT-07248,TARGETS,0.57,Isoler IT-07248 et appliquer les correctifs pour T2687.
CVE-2022-5169,IT-05524,TARGETS,0.51,Isoler IT-05524 et appliquer les correctifs pour CVE-2022-5169.
CVE-2023-1348,IT-08750,TARGETS,0.75,Isoler IT-08750 et appliquer les correctifs pour CVE-2023-1348.
T9920,IT-02514,TARGETS,0.81,Isoler IT-02514 et appliquer les correctifs pour T9920.
T3865,IT-02556,TARGETS,0.52,Isoler IT-02556 et appliquer les correctifs pour T3865.
CVE-2021-8650,IT-03857,TARGETS,0.92,Isoler IT-03857 et appliquer les correctifs pour CVE-2021-8650.
CVE-2022-9915,IT-04930,TARGETS,0.53,Isoler IT-04930 et appliquer les correctifs pour CVE-2022-9915.
T4233,IT-07524,TARGETS,0.82,Isoler IT-07524 et appliquer les correctifs pour T4233.
T4230,IT-08089,TARGETS,0.96,Isoler IT-08089 et appliquer les correctifs pour T4230.
T3300,IT-02688,TARGETS,0.87,Isoler IT-02688 et appliquer les correctifs pour T3300.
CVE-2025-8031,IT-08493,TARGETS,0.59,Isoler IT-08493 et appliquer les correctifs pour CVE-2025-8031.
CVE-2020-6574,IT-02477,TARGETS,0.81,Isoler IT-02477 et appliquer les correctifs pour CVE-2020-6574.
CVE-2024-2709,IT-05371,TARGETS,0.69,Isoler IT-05371 et appliquer les correctifs pour CVE-2024-2709.
T7165,IT-08596,TARGETS,0.94,Isoler IT-08596 et appliquer les correctifs pour T7165.
T5181,IT-05114,TARGETS,0.61,Isoler IT-05114 et appliquer les correctifs pour T5181.
T8036,IT-03495,TARGETS,0.8,Isoler IT-03495 et appliquer les correctifs pour T8036.
T5727,IT-08080,TARGETS,0.98,Isoler IT-08080 et appliquer les correctifs pour T5727.
T3388,IT-00696,TARGETS,0.52,Isoler IT-00696 et appliquer les correctifs pour T3388.
CVE-2023-6865,IT-09323,TARGETS,0.76,Isoler IT-09323 et appliquer les correctifs pour CVE-2023-6865.
CVE-2025-2298,IT-03649,TARGETS,0.96,Isoler IT-03649 et appliquer les correctifs pour CVE-2025-2298.
T7777,IT-06413,TARGETS,0.83,Isoler IT-06413 et appliquer les correctifs pour T7777.
T8179,IT-04975,TARGETS,0.99,Isoler IT-04975 et appliquer les correctifs pour T8179.
T7781,IT-05848,TARGETS,0.67,Isoler IT-05848 et appliquer les correctifs pour T7781.
T5552,IT-02233,TARGETS,0.97,Isoler IT-02233 et appliquer les correctifs pour T5552.
T4769,IT-09441,TARGETS,0.71,Isoler IT-09441 et appliquer les correctifs pour T4769.
CVE-2024-9998,IT-03865,TARGETS,0.55,Isoler IT-03865 et appliquer les correctifs pour CVE-2024-9998.
CVE-2023-2394,IT-03126,TARGETS,0.9,Isoler IT-03126 et appliquer les correctifs pour CVE-2023-2394.
T9413,IT-01107,TARGETS,0.52,Isoler IT-01107 et appliquer les correctifs pour T9413.
CVE-2021-4737,IT-07203,TARGETS,0.98,Isoler IT-07203 et appliquer les correctifs pour CVE-2021-4737.
CVE-2020-6722,IT-06607,TARGETS,0.67,Isoler IT-06607 et appliquer les correctifs pour CVE-2020-6722.
CVE-2023-2299,IT-02930,TARGETS,0.62,Isoler IT-02930 et appliquer les correctifs pour CVE-2023-2299.
CVE-2021-8129,IT-06032,TARGETS,0.62,Isoler IT-06032 et appliquer les correctifs pour CVE-2021-8129.
T2058,IT-02290,TARGETS,0.56,Isoler IT-02290 et appliquer les correctifs pour T2058.
CVE-2024-3506,IT-05436,TARGETS,0.62,Isoler IT-05436 et appliquer les correctifs pour CVE-2024-3506.
CVE-2020-9538,IT-08163,TARGETS,0.68,Isoler IT-08163 et appliquer les correctifs pour CVE-2020-9538.
CVE-2023-9047,IT-05546,TARGETS,0.66,Isoler IT-05546 et appliquer les correctifs pour CVE-2023-9047.
T8676,IT-04229,TARGETS,0.89,Isoler IT-04229 et appliquer les correctifs pour T8676.
T7973,IT-03208,TARGETS,0.51,Isoler IT-03208 et appliquer les correctifs pour T7973.
CVE-2024-2010,IT-05945,TARGETS,0.97,Isoler IT-05945 et appliquer les correctifs pour CVE-2024-2010.
CVE-2024-5805,IT-02215,TARGETS,0.85,Isoler IT-02215 et appliquer les correctifs pour CVE-2024-5805.
CVE-2025-9558,IT-08413,TARGETS,0.92,Isoler IT-08413 et appliquer les correctifs pour CVE-2025-9558.
CVE-2024-9666,IT-02027,TARGETS,0.86,Isoler IT-02027 et appliquer les correctifs pour CVE-2024-9666.
T6752,IT-00324,TARGETS,0.68,Isoler IT-00324 et appliquer les correctifs pour T6752.
T2226,IT-03476,TARGETS,0.82,Isoler IT-03476 et appliquer les correctifs pour T2226.
CVE-2021-1799,IT-07565,TARGETS,0.7,Isoler IT-07565 et appliquer les correctifs pour CVE-2021-1799.
CVE-2024-3576,IT-08130,TARGETS,0.97,Isoler IT-08130 et appliquer les correctifs pour CVE-2024-3576.
T4896,IT-08864,TARGETS,0.88,Isoler IT-08864 et appliquer les correctifs pour T4896.
T6443,IT-07838,TARGETS,0.98,Isoler IT-07838 et appliquer les correctifs pour T6443.
T4651,IT-07595,TARGETS,0.66,Isoler IT-07595 et appliquer les correctifs pour T4651.
CVE-2023-8871,IT-09673,TARGETS,0.75,Isoler IT-09673 et appliquer les correctifs pour CVE-2023-8871.
CVE-2025-4068,IT-02083,TARGETS,0.93,Isoler IT-02083 et appliquer les correctifs pour CVE-2025-4068.
CVE-2025-4347,IT-01994,TARGETS,0.57,Isoler IT-01994 et appliquer les correctifs pour CVE-2025-4347.
CVE-2020-5545,IT-05138,TARGETS,0.59,Isoler IT-05138 et appliquer les correctifs pour CVE-2020-5545.
CVE-2021-1024,IT-05254,TARGETS,0.93,Isoler IT-05254 et appliquer les correctifs pour CVE-2021-1024.
T5078,IT-07439,TARGETS,0.74,Isoler IT-07439 et appliquer les correctifs pour T5078.
CVE-2022-7018,IT-05546,TARGETS,0.9,Isoler IT-05546 et appliquer les correctifs pour CVE-2022-7018.
T1048,IT-03639,TARGETS,0.53,Isoler IT-03639 et appliquer les correctifs pour T1048.
T9440,IT-01916,TARGETS,0.91,Isoler IT-01916 et appliquer les correctifs pour T9440.
CVE-2022-6665,IT-09686,TARGETS,0.63,Isoler IT-09686 et appliquer les correctifs pour CVE-2022-6665.
T8814,IT-02925,TARGETS,0.95,Isoler IT-02925 et appliquer les correctifs pour T8814.
CVE-2020-2796,IT-01322,TARGETS,0.8,Isoler IT-01322 et appliquer les correctifs pour CVE-2020-2796.
T3855,IT-02763,TARGETS,0.53,Isoler IT-02763 et appliquer les correctifs pour T3855.
T7514,IT-05906,TARGETS,0.51,Isoler IT-05906 et appliquer les correctifs pour T7514.
T9697,IT-01710,TARGETS,0.89,Isoler IT-01710 et appliquer les correctifs pour T9697.
T7207,IT-01916,TARGETS,0.88,Isoler IT-01916 et appliquer les correctifs pour T7207.
CVE-2021-5000,IT-02504,TARGETS,0.7,Isoler IT-02504 et appliquer les correctifs pour CVE-2021-5000.
CVE-2020-7851,IT-08141,TARGETS,0.97,Isoler IT-08141 et appliquer les correctifs pour CVE-2020-7851.
T8738,IT-03992,TARGETS,0.92,Isoler IT-03992 et appliquer les correctifs pour T8738.
CVE-2020-1703,IT-09532,TARGETS,0.92,Isoler IT-09532 et appliquer les correctifs pour CVE-2020-1703.
T3555,IT-01969,TARGETS,0.85,Isoler IT-01969 et appliquer les correctifs pour T3555.
T2903,IT-08023,TARGETS,0.99,Isoler IT-08023 et appliquer les correctifs pour T2903.
T7576,IT-07008,TARGETS,0.78,Isoler IT-07008 et appliquer les correctifs pour T7576.
T7567,IT-03864,TARGETS,0.67,Isoler IT-03864 et appliquer les correctifs pour T7567.
CVE-2025-7345,IT-00049,TARGETS,0.8,Isoler IT-00049 et appliquer les correctifs pour CVE-2025-7345.
T3516,IT-01701,TARGETS,0.91,Isoler IT-01701 et appliquer les correctifs pour T3516.
T2418,IT-00123,TARGETS,0.68,Isoler IT-00123 et appliquer les correctifs pour T2418.
CVE-2024-6786,IT-08406,TARGETS,0.56,Isoler IT-08406 et appliquer les correctifs pour CVE-2024-6786.
T5599,IT-01535,TARGETS,0.99,Isoler IT-01535 et appliquer les correctifs pour T5599.
T9855,IT-05912,TARGETS,0.81,Isoler IT-05912 et appliquer les correctifs pour T9855.
CVE-2023-5045,IT-03100,TARGETS,0.72,Isoler IT-03100 et appliquer les correctifs pour CVE-2023-5045.
CVE-2025-2022,IT-02669,TARGETS,0.74,Isoler IT-02669 et appliquer les correctifs pour CVE-2025-2022.
CVE-2022-6900,IT-04488,TARGETS,0.67,Isoler IT-04488 et appliquer les correctifs pour CVE-2022-6900.
T7385,IT-08360,TARGETS,0.58,Isoler IT-08360 et appliquer les correctifs pour T7385.
T4477,IT-02287,TARGETS,0.87,Isoler IT-02287 et appliquer les correctifs pour T4477.
T3522,IT-08999,TARGETS,0.56,Isoler IT-08999 et appliquer les correctifs pour T3522.
T1150,IT-03217,TARGETS,0.81,Isoler IT-03217 et appliquer les correctifs pour T1150.
CVE-2023-8115,IT-03626,TARGETS,0.85,Isoler IT-03626 et appliquer les correctifs pour CVE-2023-8115.
CVE-2023-3332,IT-01970,TARGETS,0.6,Isoler IT-01970 et appliquer les correctifs pour CVE-2023-3332.
CVE-2022-6930,IT-04094,TARGETS,0.66,Isoler IT-04094 et appliquer les correctifs pour CVE-2022-6930.
CVE-2022-7231,IT-07615,TARGETS,0.78,Isoler IT-07615 et appliquer les correctifs pour CVE-2022-7231.
CVE-2021-6424,IT-09326,TARGETS,0.55,Isoler IT-09326 et appliquer les correctifs pour CVE-2021-6424.
T9443,IT-02681,TARGETS,0.77,Isoler IT-02681 et appliquer les correctifs pour T9443.
T6783,IT-04591,TARGETS,0.7,Isoler IT-04591 et appliquer les correctifs pour T6783.
T3286,IT-04948,TARGETS,0.77,Isoler IT-04948 et appliquer les correctifs pour T3286.
T3181,IT-07574,TARGETS,0.61,Isoler IT-07574 et appliquer les correctifs pour T3181.
CVE-2025-6902,IT-02329,TARGETS,0.67,Isoler IT-02329 et appliquer les correctifs pour CVE-2025-6902.
T3371,IT-03911,TARGETS,0.52,Isoler IT-03911 et appliquer les correctifs pour T3371.
T9855,IT-07201,TARGETS,0.55,Isoler IT-07201 et appliquer les correctifs pour T9855.
CVE-2023-3693,IT-00048,TARGETS,0.97,Isoler IT-00048 et appliquer les correctifs pour CVE-2023-3693.
T6465,IT-08952,TARGETS,0.63,Isoler IT-08952 et appliquer les correctifs pour T6465.
T8203,IT-04605,TARGETS,0.55,Isoler IT-04605 et appliquer les correctifs pour T8203.
CVE-2025-9375,IT-08156,TARGETS,0.9,Isoler IT-08156 et appliquer les correctifs pour CVE-2025-9375.
CVE-2022-5255,IT-00477,TARGETS,0.57,Isoler IT-00477 et appliquer les correctifs pour CVE-2022-5255.
T5299,IT-06676,TARGETS,0.51,Isoler IT-06676 et appliquer les correctifs pour T5299.
CVE-2022-1770,IT-09454,TARGETS,0.78,Isoler IT-09454 et appliquer les correctifs pour CVE-2022-1770.
CVE-2024-8517,IT-01097,TARGETS,0.7,Isoler IT-01097 et appliquer les correctifs pour CVE-2024-8517.
CVE-2021-5136,IT-08803,TARGETS,0.85,Isoler IT-08803 et appliquer les correctifs pour CVE-2021-5136.
T9465,IT-02943,TARGETS,0.9,Isoler IT-02943 et appliquer les correctifs pour T9465.
CVE-2021-3661,IT-06418,TARGETS,0.98,Isoler IT-06418 et appliquer les correctifs pour CVE-2021-3661.
CVE-2022-1883,IT-07133,TARGETS,0.88,Isoler IT-07133 et appliquer les correctifs pour CVE-2022-1883.
CVE-2020-8202,IT-06339,TARGETS,0.94,Isoler IT-06339 et appliquer les correctifs pour CVE-2020-8202.
CVE-2020-8777,IT-09446,TARGETS,0.94,Isoler IT-09446 et appliquer les correctifs pour CVE-2020-8777.
CVE-2021-5600,IT-08670,TARGETS,0.62,Isoler IT-08670 et appliquer les correctifs pour CVE-2021-5600.
T5108,IT-00447,TARGETS,0.55,Isoler IT-00447 et appliquer les correctifs pour T5108.
CVE-2021-6588,IT-08144,TARGETS,0.63,Isoler IT-08144 et appliquer les correctifs pour CVE-2021-6588.
T1296,IT-07620,TARGETS,0.89,Isoler IT-07620 et appliquer les correctifs pour T1296.
T3995,IT-01485,TARGETS,0.6,Isoler IT-01485 et appliquer les correctifs pour T3995.
T1549,IT-06579,TARGETS,0.73,Isoler IT-06579 et appliquer les correctifs pour T1549.
CVE-2021-8251,IT-07132,TARGETS,0.79,Isoler IT-07132 et appliquer les correctifs pour CVE-2021-8251.
CVE-2023-8871,IT-05316,TARGETS,0.73,Isoler IT-05316 et appliquer les correctifs pour CVE-2023-8871.
T6465,IT-05711,TARGETS,0.83,Isoler IT-05711 et appliquer les correctifs pour T6465.
CVE-2024-8582,IT-01168,TARGETS,0.78,Isoler IT-01168 et appliquer les correctifs pour CVE-2024-8582.
T6446,IT-09703,TARGETS,0.85,Isoler IT-09703 et appliquer les correctifs pour T6446.
CVE-2022-3905,IT-04576,TARGETS,0.62,Isoler IT-04576 et appliquer les correctifs pour CVE-2022-3905.
T7071,IT-02503,TARGETS,0.81,Isoler IT-02503 et appliquer les correctifs pour T7071.
T6093,IT-04841,TARGETS,0.7,Isoler IT-04841 et appliquer les correctifs pour T6093.
